Movie_Name,Release_Date,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
Movie 1,1980-12-05,A group of friends embark on an unforgettable adventure.,569.63,13238,5.9,ko,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_1.jpg
Movie 2,2020-01-10,An action-packed mission to save the world.,611.76,12763,5.0,hi,"Adventure, Action",https://image.tmdb.org/t/p/w500/sample_poster_2.jpg
Movie 3,2009-03-27,A group of friends embark on an unforgettable adventure.,465.88,111,2.7,en,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_3.jpg
Movie 4,1997-09-22,A group of friends embark on an unforgettable adventure.,192.2,11804,1.6,es,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_4.jpg
Movie 5,2004-01-10,A mysterious event changes everything for a small town.,131.69,453,6.7,ko,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_5.jpg
Movie 6,1986-07-12,A hero rises to face an unexpected challenge.,228.84,17248,2.6,es,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_6.jpg
Movie 7,2006-09-03,"A dramatic journey of love, loss, and redemption.",16.32,19738,3.2,ja,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_7.jpg
Movie 8,2016-10-21,A hero rises to face an unexpected challenge.,666.9,19680,5.1,ja,Comedy,https://image.tmdb.org/t/p/w500/sample_poster_8.jpg
Movie 9,2001-04-06,A mysterious event changes everything for a small town.,53.0,754,8.8,fr,"Romance, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_9.jpg
Movie 10,1981-04-26,A thrilling story about courage and destiny.,51.01,10745,4.8,es,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_10.jpg
Movie 11,2002-08-03,A thrilling story about courage and destiny.,179.32,4743,6.4,ko,Drama,https://image.tmdb.org/t/p/w500/sample_poster_11.jpg
Movie 12,1983-02-13,A thrilling story about courage and destiny.,379.45,4307,7.4,fr,"Fantasy, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_12.jpg
Movie 13,2000-09-05,A mysterious event changes everything for a small town.,231.3,10585,7.8,en,"Sci-Fi, Action",https://image.tmdb.org/t/p/w500/sample_poster_13.jpg
Movie 14,1989-06-26,A hero rises to face an unexpected challenge.,78.11,16836,3.8,de,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_14.jpg
Movie 15,1993-01-17,A thrilling story about courage and destiny.,422.99,10605,2.8,ko,Comedy,https://image.tmdb.org/t/p/w500/sample_poster_15.jpg
Movie 16,1992-05-18,An action-packed mission to save the world.,546.73,582,9.3,en,"Animation, Romance",https://image.tmdb.org/t/p/w500/sample_poster_16.jpg
